Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
9,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
9,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
10,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
11,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
12,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,1,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,2,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,3,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,4,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,5,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,6,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,7,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,8,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
13,9,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
14,0,271,246,0,271,901,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
