Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
5,3,289.778,370.855,0,283.145,755.076,0,-5.60473,28.6134,326.661,5.18318,-34.4676,314.163,40785.2,-6133.88,-1632.99,-45843.8,-3815.47,3614.37
5,4,292.416,371.469,0,283.244,758.317,0,-5.76456,29.5502,325.971,5.07756,-34.0491,320.983,40899.3,-6981,-1651.37,-45798.7,-3930.18,3596.83
5,5,292.468,371.341,0,283.812,754.022,0,-5.49788,28.5903,326.145,5.14713,-34.272,311.973,40879.3,-7001.57,-1674.34,-45853.1,-3996.86,3650.53
5,6,292.589,370.583,0,283.124,754.495,0,-6.45574,28.5671,326.584,5.41336,-34.0973,312.321,40686.7,-7050.61,-1679.72,-45756.4,-3786.51,3628.89
5,7,292.853,370.906,0,283.085,754.089,0,-5.80761,28.7458,326.411,5.03305,-34.1632,312.675,40770.6,-7133.15,-1622,-45935.5,-3778.58,3618.97
5,8,292.796,370.579,0,283.23,752.199,0,-5.65377,28.5312,327.268,5.45143,-33.7963,307.949,40770.6,-7133.09,-1996.66,-45823.2,-3766.35,3745.61
5,9,293.288,370.534,0,283.548,754.214,0,-5.67082,27.8536,326.322,5.43864,-33.8732,312.667,40638,-7272.94,-1690.69,-45895.1,-3923.23,3628.53
6,0,292.829,370.913,0,283.571,754.32,0,-5.67476,28.6334,326.586,5.38708,-34.9493,312.676,40794.8,-7128.97,-1599.66,-45863.2,-3930.77,3622.58
6,1,293.182,370.742,0,283.479,755.351,0,-5.69649,27.8935,327.022,5.25212,-33.8193,314.587,40793.2,-7254.14,-1676.69,-45819.2,-3925.77,3503.63
6,2,292.667,369.907,0,283.088,754.101,0,-6.14282,28.6543,326.845,5.50549,-33.959,311.969,40498.3,-7081.66,-1649.28,-45827.9,-3771.02,3628.79
6,3,292.849,371.17,0,282.377,754.465,0,-5.78781,28.7402,327.022,5.14328,-34.0056,312.149,40933.4,-7145.19,-1670.63,-45740.7,-3551.22,3584.43
6,4,292.794,371.247,0,283.508,754.113,0,-5.62842,28.6622,325.802,5.28073,-34.157,311.53,40805.7,-7100.54,-1545.9,-45759.6,-3896.57,3570.7
6,5,292.916,370.994,0,283.707,754.654,0,-5.89705,29.0769,326.671,5.90627,-34.1232,312.75,40832,-7159.25,-1675.33,-45769.7,-3974.1,3624.27
6,6,292.741,369.786,0,283.475,754.357,0,-6.22958,28.947,326.408,6.08719,-34.1377,311.437,40404.7,-7096.48,-1649.52,-45669.9,-3885.07,3620.35
6,7,293.285,370.932,0,282.797,754.601,0,-5.9636,28.7843,327.2,5.41706,-33.2664,311.963,40877.6,-7291.73,-1631.66,-45671,-3680.08,3590.35
6,8,293.026,371.079,0,283.124,755.543,0,-5.67423,28.836,326.681,5.38447,-34.2449,313.895,40860.9,-7195.56,-1448.21,-45658.3,-3805.59,3602.19
6,9,292.637,371.093,0,283.424,753.911,0,-5.72287,28.8983,327.202,5.26257,-33.8379,310.393,40930.6,-7079.82,-1509.6,-45655.4,-3856.43,3634.37
7,0,292.392,370.518,0,283.791,751.476,0,-5.88318,27.6435,328.071,5.273,-34.2042,305.929,40850.6,-7017.99,-1625.97,-45743.6,-3913.11,3562.16
7,1,293.003,369.93,0,283.285,754.417,0,-5.29375,28.6074,326.844,5.12434,-33.8474,311.882,40505.6,-7191.67,-1650.06,-45716.6,-3831.33,3611.6
7,2,293.358,371.526,0,283.289,753.323,0,-5.6948,28.6093,326.588,4.65863,-33.8169,311.539,40995.1,-7301.83,-1649.28,-46007.2,-3828.52,3637.12
7,3,292.977,370.453,0,282.9,754.011,0,-6.43339,29.0284,327.46,5.90863,-34.1795,311.094,40753.4,-7196.7,-1658.01,-45727.5,-3701.99,3660.3
7,4,292.951,370.741,0,283.002,755.194,0,-5.67778,28.9309,327.977,5.61048,-34.0637,313.892,40912,-7199.52,-1795.85,-45767.3,-3767.27,3588.53
7,5,292.127,371.174,0,283.465,754.145,0,-5.68247,28.9599,327.543,5.35156,-33.7547,311.268,41000.1,-6919.85,-1664.32,-45711.5,-3880.07,3669.94
7,6,292.88,370.346,0,283.18,754.425,0,-5.96637,28.6715,327.547,5.66301,-33.7767,311.001,40729.3,-7166.85,-1613.48,-45584.9,-3788.04,3607.93
7,7,292.754,371.532,0,283.179,754.152,0,-5.85076,28.9704,325.617,5.68504,-34.0223,311.091,40875.4,-7083.63,-1804.02,-45683.1,-3788.88,3620.5
